Order No,Item No.,Item,Category,Sub Category,Cost,Bag Cost Incl. VAT,VAT,Total Cost incl.VAT,Selling Price,% Markup,Profit,Actual Selling Price,Actual Profit,payment type,client/source,Unnamed: 16
2.0,1.0,Jumkha Small (silver),Other Jewellery,Earrings,12.0,1.1117085501858737,0.15683397683397682,14.993716272193595,150.0,900.4190907505739,135.00628372780642,,,,,
2.0,2.0,Jumkha Small (silver),Other Jewellery,Earrings,12.0,1.11,0.15683397683397682,14.99200772200772,150.0,900.5331025797532,135.0079922779923,150.0,135.01,Cash,,
2.0,3.0,Jumkha Small (Gold),Other Jewellery,Earrings,12.0,1.1117085501858737,0.15683397683397682,14.993716272193595,150.0,900.4190907505739,135.00628372780642,150.0,135.01,Cash,,
2.0,4.0,Jumkha Big (Gold),Other Jewellery,Earrings,31.0,1.85,0.15683397683397682,37.71185328185328,250.0,562.921543875168,212.28814671814672,250.0,212.28814671814672,Cash,,
2.0,5.0,EE Round Rhinestone Bracelet,Evil Eye Jewellery,Bracelet,14.0,1.1117085501858737,0.15683397683397682,17.30738422586155,60.0,246.67283754147564,42.692615774138446,60.0,42.692615774138446,EFT ,Khatija,
2.0,6.0,EE Bracelet with Eye,Evil Eye Jewellery,Bracelet,8.0,1.1117085501858737,0.15683397683397682,10.366380364857688,50.0,382.3284332639516,39.63361963514231,50.0,39.63,Cash,Pre-Navratri market,
2.0,7.0,EE Bracelet with 4 mini eyes,Evil Eye Jewellery,Bracelet,8.0,1.11,0.15683397683397682,10.364671814671814,40.0,285.92635362923505,29.635328185328184,40.0,29.635328185328184,Cash,,
2.0,8.0,EE Bracelet with flower,Evil Eye Jewellery,Bracelet,8.0,1.1117085501858737,0.15683397683397682,10.366380364857688,40.0,285.86274661116124,29.63361963514231,40.0,29.63361963514231,EFT ,Khatija,
2.0,9.0,EE Bracelet with Hamsa (hand),Evil Eye Jewellery,Bracelet,8.0,1.1117085501858737,0.15683397683397682,10.366380364857688,50.0,382.3284332639516,39.63361963514231,49.31,38.94361963514231,Card,Bryanston Diwali Market,
2.0,10.0,EE Necklace,Evil Eye Jewellery,Necklace,13.0,1.11,0.15683397683397682,16.1488416988417,60.0,271.54367550895984,43.8511583011583,60.0,43.8511583011583,Cash,,
1.0,11.0,EE Plastic (Eye),Evil Eye Jewellery,Bracelet,9.0,1.1117085501858737,0.21302301255230127,12.028915663156585,25.0,107.83253204253982,12.971084336843415,25.0,12.97,Cash,Goshala Market,
1.0,12.0,EE Plastic (Hamsa),Evil Eye Jewellery,Bracelet,9.0,1.1117085501858737,0.21302301255230127,12.028915663156585,25.0,107.83253204253982,12.971084336843415,25.0,12.97,Cash,Pre-Navratri market,
1.0,13.0,EE Plastic (Elephant),Evil Eye Jewellery,Bracelet,9.0,1.1117085501858737,0.21302301255230127,12.028915663156585,25.0,107.83253204253982,12.971084336843415,25.0,12.97,Card,Pre-Navratri market,
1.0,14.0,EE Plastic (Butterfly),Evil Eye Jewellery,Bracelet,9.0,1.11,0.21302301255230127,12.02720711297071,25.0,107.8620561297129,12.97279288702929,25.0,12.97,Cash,,
1.0,15.0,EE Plastic (Turtle),Evil Eye Jewellery,Bracelet,9.0,1.1117085501858737,0.21302301255230127,12.028915663156585,25.0,107.83253204253982,12.971084336843415,0.0,0.0,EFT ,Khatija,
1.0,16.0,EE Plastic (Owl),Evil Eye Jewellery,Bracelet,9.0,1.1117085501858737,0.21302301255230127,12.028915663156585,25.0,107.83253204253982,12.971084336843415,25.0,12.97,Cash,,
2.0,17.0,Black Tourmaline Bracelet 14k gold plated,Crystal Jewellery,Bracelet,40.0,1.1117085501858737,0.15683397683397682,47.38506762354495,250.0,427.59236725406436,202.61493237645504,250.0,202.61,EFT ,Ella,
2.0,18.0,Black Tourmaline Bracelet 14k gold plated,Crystal Jewellery,Bracelet,40.0,1.1117085501858737,0.15683397683397682,47.38506762354495,200.0,322.07389380325145,152.61493237645504,200.0,152.61493237645504,Cash,Bryanston Diwali Market,
2.0,19.0,Black Tourmaline Bracelet 14k gold plated,Crystal Jewellery,Bracelet,40.0,1.1117085501858737,0.15683397683397682,47.38506762354495,250.0,427.59236725406436,202.61493237645504,246.55,199.16493237645506,Card,Laudium,
4.0,20.0,Black Tourmaline Anklet 14k gold plated,Crystal Jewellery,Anklet,50.0,1.11,0.15802973977695167,59.01148698884758,300.0,408.3755982232683,240.9885130111524,300.0,240.9885130111524,Cash,Fiona,
5.0,21.0,Pink Tourmaline Bracelet 14k gold plated,Crystal Jewellery,Bracelet,63.0,1.1117085501858737,0.1874189364461738,75.91910154629481,265.0,249.0557640996387,189.08089845370517,261.34,185.42089845370515,Card,Rath Yatra,
5.0,22.0,Pink Tourmaline Bracelet 14k gold plated,Crystal Jewellery,Bracelet,63.0,1.1117085501858737,0.1874189364461738,75.91910154629481,265.0,249.0557640996387,189.08089845370517,,,,,
5.0,23.0,Amethyst Bracelet 14k gold plated,Crystal Jewellery,Bracelet,54.0,1.1117085501858737,0.1874189364461738,65.23233111827926,250.0,283.245540538326,184.76766888172074,250.0,184.76766888172074,cash,Laudium,
5.0,24.0,Amazonite Bracelet 14k gold plated,Crystal Jewellery,Bracelet,54.0,1.1117085501858737,0.1874189364461738,65.23233111827926,250.0,283.245540538326,184.76766888172074,244.25,179.02,Card,Goshala Market,
1.0,25.0,Yellow Calcite Set,Crystal Jewellery,Set,21.6875,1.1117085501858737,0.21302301255230127,27.419145134913908,70.0,155.29607015671021,42.580854865086096,,,,,
1.0,26.0,Tigers Eye Set,Crystal Jewellery,Set,21.6875,1.1117085501858737,0.21302301255230127,27.419145134913908,70.0,155.29607015671021,42.580854865086096,,,,,
1.0,27.0,Rose Quartz Set,Crystal Jewellery,Set,21.6875,1.1117085501858737,0.21302301255230127,27.419145134913908,70.0,155.29607015671021,42.580854865086096,,,,,
1.0,28.0,Blue and White Howlite Set,Crystal Jewellery,Set,21.6875,1.1117085501858737,0.21302301255230127,27.419145134913908,70.0,155.29607015671021,42.580854865086096,,,,,
1.0,29.0,Turquoise + Mixed Set,Crystal Jewellery,Set,21.6875,1.1117085501858737,0.21302301255230127,27.419145134913908,70.0,155.29607015671021,42.580854865086096,,,,,
1.0,30.0,Aventurine Set,Crystal Jewellery,Set,21.6875,1.1117085501858737,0.21302301255230127,27.419145134913908,70.0,155.29607015671021,42.580854865086096,25.0,-2.419145134913908,Cash,Pre-Navratri market,
1.0,31.0,Carnelian Set,Crystal Jewellery,Set,21.6875,1.1117085501858737,0.21302301255230127,27.419145134913908,70.0,155.29607015671021,42.580854865086096,,,,,
1.0,32.0,Garnet Earrings,Crystal Jewellery,Earrings,12.25,1.1117085501858737,0.21302301255230127,15.971240453951564,40.0,150.45017708754926,24.028759546048434,,,,,
1.0,33.0,Blue Bohemian EE Bracelet Set,Evil Eye Jewellery,Bracelet,37.0,,0.21302301255230127,44.881851464435144,200.0,345.61441534666216,155.11814853556484,200.0,155.11814853556484,Cash,Bryanston Diwali Market,
1.0,34.0,Blue Bohemian EE Bracelet Set,Evil Eye Jewellery,Bracelet,37.0,,0.21302301255230127,44.881851464435144,200.0,345.61441534666216,155.11814853556484,,,,,
1.0,35.0,Pink Bohemian EE Bracelet Set,Evil Eye Jewellery,Bracelet,37.0,,0.21302301255230127,44.881851464435144,200.0,345.61441534666216,155.11814853556484,195.4,150.51814853556488,card,Bryanston Diwali Market,
1.0,36.0,Pink Bohemian EE Bracelet Set,Evil Eye Jewellery,Bracelet,37.0,,0.21302301255230127,44.881851464435144,200.0,345.61441534666216,155.11814853556484,,,,,
1.0,37.0,Black Bohemian EE Bracelet Set,Evil Eye Jewellery,Bracelet,35.0,1.85,0.21302301255230127,44.30580543933055,200.0,351.40811236095647,155.69419456066944,200.0,155.69419456066944,EFT ,Khatija,
1.0,38.0,Black Bohemian EE Bracelet Set,Evil Eye Jewellery,Bracelet,35.0,,0.21302301255230127,42.45580543933055,200.0,371.0780962236142,157.54419456066944,,,,,
